City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code
antofagasta,-23.057270000000003,-78.19422,57.2,76,75,8.05,cl
kavaratti,12.029880000000002,73.18177000000001,82.4,83,40,9.17,in
neiafu,-17.042330000000003,-177.44073000000003,77,78,40,11.41,to
belaya gora,68.16932000000001,145.36105,45,81,100,9.78,ru
egvekinot,66.16434000000001,-176.43824,43.3,79,99,16.8,ru
pisco,-26.064740000000004,-100.24900000000001,60.8,87,97,10.29,pe
rundu,-19.047310000000003,20.0498,59.65,30,0,7.25,na
georgiyevka,43.10707000000001,74.18426000000001,68,37,0,8.95,kz
bay roberts,39.09711,-52.12948000000001,48.99,70,100,10.96,ca
oistins,11.02739,-58.144420000000004,82.4,78,20,11.41,bb
bereda,13.032370000000002,53.13197,57.99,100,9,1.01,so
sondrio,46.114540000000005,10.0249,70,100,90,1.12,it
novaya bryan,51.126990000000006,108.26892000000001,51.8,76,40,4.47,ru
tarakan,2.00498,119.29631,84.29,67,100,7.38,id
leningradskiy,84.20916000000001,175.43575,38.32,92,100,7.34,ru
gibara,21.052290000000003,-76.18924000000001,78.8,88,20,5.82,cu
ducheng,23.057270000000003,111.27639,91.51,55,30,4.61,cn
dabeiba,7.017430000000001,-76.18924000000001,73.08,77,100,0.81,co
longyearbyen,77.19173,18.04482,31.05,93,99,3.83,sj
luderitz,-36.08964,2.00498,51.22,70,0,10.85,na
dyersburg,36.08964,-89.22161000000001,73,88,1,4.7,us
ostrovnoy,74.18426000000001,43.10707000000001,41.94,78,99,9.86,ru
unguia,8.01992,-77.19173,74.95,92,100,3.27,co
madang,-4.00996,146.36354000000003,86.49,66,91,8.41,pg
pitimbu,-8.01992,-31.07719,73.4,94,11,5.82,br
saint-philippe,-71.17679000000001,75.18675,72,49,20,8.05,re
biloela,-25.062250000000002,149.37101,76.95,44,67,8.1,au
imbituba,-29.072210000000002,-47.11703000000001,64.4,72,90,10.29,br
havoysund,75.18675,23.057270000000003,44.6,87,75,2.24,no
kaabong,4.00996,34.08466000000001,64.56,69,25,6.6,ug
lubao,-5.01245,26.064740000000004,86,74,90,6.93,cd
sao filipe,14.034860000000002,-30.074700000000004,79.14,83,90,7.87,cv
port macquarie,-32.07968,156.38844,73.99,67,0,5.99,au
moindou,-28.069720000000004,161.40089,77,47,90,12.75,nc
ambilobe,-11.02739,49.12201,70.41,68,1,4.94,mg
cockburn town,26.064740000000004,-71.17679000000001,83.39,76,99,12.21,bs
coihaique,-46.114540000000005,-73.18177000000001,33.8,74,20,3.6,cl
sitka,47.11703000000001,-139.34611,57.2,71,20,5.82,us
bagua grande,-6.014940000000001,-78.19422,76.75,56,100,3.2,pe
norman wells,77.19173,-120.29880000000001,35.6,93,40,3.36,ca
santa isabel do rio negro,-1.00249,-64.15936,74.26,96,100,2.73,br
bertinoro,44.10956,12.029880000000002,69.01,93,2,4.7,it
beni,1.00249,29.072210000000002,60.98,100,80,1.88,cd
grindavik,63.156870000000005,-23.057270000000003,46.4,87,90,17.22,is
geraldton,-29.072210000000002,109.27141000000002,71.6,46,64,21.92,au
acarau,9.02241,-39.09711,76.6,80,0,15.73,br
ambon,-5.01245,128.31872,86,66,40,4.7,id
kisangani,-1.00249,26.064740000000004,69.35,98,98,0.45,cd
manzanillo,13.032370000000002,-107.26643000000001,76.46,91,17,8.72,mx
zhangjiakou,41.102090000000004,114.28386000000002,61.29,37,0,23.06,cn
laguna,-29.072210000000002,-48.11952000000001,75,56,1,6.93,br
kaifeng,35.08715,114.28386000000002,91.4,24,20,8.95,cn
broome,-19.047310000000003,125.31125000000002,50,66,1,6.93,au
villazon,-22.05478,-65.16185,47.19,53,98,2.24,bo
alpharetta,34.08466000000001,-84.20916000000001,68,85,100,11.95,us
trinidad,21.052290000000003,-80.1992,76.23,53,4,4.07,cu
penzance,51.126990000000006,-6.014940000000001,57.99,100,20,9.17,gb
hue,16.03984,107.26643000000001,91.4,55,40,4.7,vn
urechesti,46.114540000000005,27.067230000000002,60.8,67,5,5.93,ro
comodoro rivadavia,-48.11952000000001,-67.16683,39.2,64,2,2.98,ar
puerto escondido,8.01992,-100.24900000000001,79.97,78,100,2.98,mx
roma,-26.064740000000004,146.36354000000003,46.99,87,1,5.82,au
ciudad bolivar,8.01992,-64.15936,78.51,81,91,7.99,ve
lasa,34.08466000000001,90.2241,57.2,100,5,3.36,cn
jardim,1.00249,-36.08964,72.97,30,0,3.69,br
srandakan,-13.032370000000002,108.26892000000001,82.92,59,78,11.88,id
college,70.1743,-148.36852000000002,60.8,41,75,3.36,us
maryville,40.0996,-94.23406000000001,73.4,88,90,2.26,us
wum,7.017430000000001,10.0249,64.62,100,100,0.81,cm
baixa grande,-12.029880000000002,-40.0996,68.04,92,44,6.58,br
tasiilaq,74.18426000000001,-36.08964,33.8,93,100,36.91,gl
narsaq,83.20667,-63.156870000000005,42.8,81,100,4.7,gl
bhadrachalam,18.04482,81.20169000000001,85.66,78,52,3.31,in
hassan,13.032370000000002,76.18924000000001,73.22,79,94,13.18,in
gisborne,-40.0996,179.44571000000002,64.99,41,0,5.01,nz
agartala,24.059760000000004,91.22659000000002,87.8,74,75,3.36,in
leshan,29.072210000000002,103.25647000000001,69.78,91,100,1.16,cn
gravdal,72.17928,11.02739,44.6,87,75,10.29,no
mamit,24.059760000000004,92.22908000000001,82.4,78,75,9.17,in
san cristobal,-1.00249,-87.21663000000001,67.42,90,100,1.88,ec
shimoda,22.05478,141.35109000000003,77,88,75,11.41,jp
kununurra,-16.03984,126.31374000000001,93.2,32,40,11.41,au
kaohsiung,22.05478,119.29631,91.4,63,40,12.75,tw
porto belo,-27.067230000000002,-46.114540000000005,60.8,82,75,6.93,br
lata,-8.01992,170.4233,61,84,29,1.79,sb
mgachi,51.126990000000006,142.35358000000002,66.85,69,71,10.51,ru
dunedin,-49.12201,175.43575,54.03,60,48,19.6,nz
giyani,-23.057270000000003,31.07719,65.77,85,71,5.26,za
saint-augustin,56.13944000000001,-59.146910000000005,43.9,62,0,9.89,ca
