City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code,Date
varhaug,57.14193000000001,3.0074700000000005,51.01,81,55,1.99,no,1600315572
vangaindrano,-25.062250000000002,50.124500000000005,65.66,81,0,4.9,mg,1600315572
isangel,-19.047310000000003,173.43077000000002,80.6,69,75,6.93,vu,1600315572
bandarbeyla,6.014940000000001,55.136950000000006,80.08,66,3,27.22,so,1600315572
saint-pierre,44.10956,-57.14193000000001,71.01,52,13,4.7,pm,1600315573
luderitz,-25.062250000000002,15.037350000000002,54.32,61,0,13.04,na,1600315573
severo-kurilsk,30.074700000000004,168.41832000000002,57.07,84,51,13.42,ru,1600315573
chabahar,25.062250000000002,61.15189000000001,77,94,20,6.93,ir,1600315574
meulaboh,-1.00249,93.23157,85.8,64,66,1.83,id,1600315574
tommot,60.14940000000001,126.31374000000001,54.99,52,22,4.83,ru,1600315574
alofi,-26.064740000000004,-166.41334,77,78,75,21.92,nu,1600315574
galabovo,42.104580000000006,26.064740000000004,63,76,5,1.9,bg,1600315292
salinas,-2.00498,-82.20418000000001,68,77,1,5.82,ec,1600315429
goderich,7.017430000000001,-16.03984,62.01,76,83,17.18,sl,1600315393
katsuura,24.059760000000004,147.36603000000002,84,64,100,4.83,jp,1600315575
pozhva,59.146910000000005,56.13944000000001,45.37,85,100,13.69,ru,1600315575
suslovo,56.13944000000001,88.21912,62.26,71,100,13.27,ru,1600315575
longyearbyen,84.20916000000001,19.047310000000003,32,93,75,12.75,sj,1600315576
den helder,54.134460000000004,4.00996,59,77,20,18.34,nl,1600315576
mayo,66.16434000000001,-140.3486,69.8,83,90,3.36,ca,1600315576
ybycui,-26.064740000000004,-57.14193000000001,62.08,96,17,3.69,py,1600315576
oktyabrskiy,53.13197,154.38346,47.3,79,98,15.93,ru,1600315577
espita,21.052290000000003,-88.21912,77.05,97,100,4.99,mx,1600315577
raiwala,30.074700000000004,78.19422,80.6,88,40,2.75,in,1600315577
ahipara,-29.072210000000002,171.42579,60.19,72,8,8.05,nz,1600315577
vao,-28.069720000000004,166.41334,70.27,81,15,19.73,nc,1600315577
bilma,20.0498,11.02739,88.32,37,0,6.35,ne,1600315578
labytnangi,71.17679000000001,67.16683,50.95,75,100,13.4,ru,1600315578
hvolsvollur,64.15936,-20.0498,46,99,100,5.99,is,1600315578
namibe,-19.047310000000003,4.00996,60.91,72,0,6.89,ao,1600315578
el cobre,20.0498,-76.18924000000001,76.44,89,0,2.37,cu,1600315579
cavarzere,45.11205,12.029880000000002,69.01,78,0,4.43,it,1600315579
zyryanka,65.16185,149.37101,45.68,66,98,9.44,ru,1600315579
mizan teferi,7.017430000000001,35.08715,65.59,69,97,2.39,et,1600315579
mehamn,78.19422,29.072210000000002,42.8,81,40,10.29,no,1600315579
chenghai,23.057270000000003,117.29133000000002,89.6,66,40,8.95,cn,1600315580
bara,16.03984,30.074700000000004,71.35,88,99,7.07,sd,1600315580
labuhan,-11.02739,102.25398000000001,87.64,51,0,7.67,id,1600315580
praia,12.029880000000002,-23.057270000000003,80.02,84,52,9.35,cv,1600315580
orcopampa,-15.037350000000002,-72.17928,42.48,63,52,1.1,pe,1600315581
farafangana,-24.059760000000004,51.126990000000006,67.39,78,3,7.07,mg,1600315581
acapulco,10.0249,-102.25398000000001,79.45,81,100,2.77,mx,1600315535
saint-philippe,-64.15936,70.1743,71.01,52,43,4.7,re,1600315581
celestun,24.059760000000004,-92.22908000000001,82.02,82,96,4.85,mx,1600315581
gastonia,35.08715,-81.20169000000001,68,94,100,1.01,us,1600315538
dzerzhinskoye,57.14193000000001,95.23655000000001,60.96,65,100,8.48,ru,1600315582
gunnedah,-31.07719,150.3735,77,38,0,5.82,au,1600315582
esperance,-52.12948000000001,125.31125000000002,55.4,76,75,24.16,au,1600315582
lhokseumawe,6.014940000000001,97.24153000000001,85.62,64,100,4.41,id,1600315582
maceio,-13.032370000000002,-32.07968,66.2,93,20,3.36,br,1600315583
ramotswa,-25.062250000000002,26.064740000000004,51.8,25,2,2.24,bw,1600315583
tocopilla,-22.05478,-76.18924000000001,59.49,59,10,6.04,cl,1600315583
san ramon,-14.034860000000002,-64.15936,72,77,1,8.05,bo,1600315421
nabire,-5.01245,136.33864000000003,83.28,76,82,4.07,id,1600315584
hithadhoo,-9.02241,74.18426000000001,82.29,79,85,12.3,mv,1600315584
saltpond,5.01245,-1.00249,74.64,90,69,11.61,gh,1600315584
amos,49.12201,-78.19422,41,80,75,17.22,ca,1600315585
zhezkazgan,49.12201,67.16683,42.8,93,75,20.13,kz,1600315585
pimentel,-12.029880000000002,-88.21912,59.79,90,57,10.78,pe,1600315585
lagoa,51.126990000000006,-33.082170000000005,66.6,72,76,15.52,pt,1600315585
sitka,51.126990000000006,-140.3486,57.2,62,75,0.38,us,1600315586
baracatan,7.017430000000001,125.31125000000002,84.2,70,90,4.7,ph,1600315586
salalah,15.037350000000002,58.144420000000004,78.8,94,40,2.24,om,1600315586
cabo san lucas,11.02739,-125.31125000000002,84.99,72,97,1.01,mx,1600315586
grindavik,56.13944000000001,-24.059760000000004,46.4,100,75,13.87,is,1600315586
manaure,14.034860000000002,-72.17928,84.61,70,22,11.97,co,1600315587
teya,61.15189000000001,89.22161000000001,56.52,73,100,9.35,ru,1600315587
alto araguaia,-18.04482,-53.13197,72.03,33,5,2.19,br,1600315587
pochutla,10.0249,-97.24153000000001,78.01,90,100,1.92,mx,1600315587
strangnas,59.146910000000005,17.042330000000003,48,63,0,13.87,se,1600315588
wanning,19.047310000000003,111.27639,86.56,77,92,11.43,cn,1600315588
leningradskiy,74.18426000000001,178.44322000000003,36.28,94,100,17.34,ru,1600315588
vanavara,63.156870000000005,104.25896000000002,58.5,50,1,6.58,ru,1600315588
karimganj,25.062250000000002,92.22908000000001,81.03,89,98,0.65,in,1600315589
karmaskaly,54.134460000000004,56.13944000000001,50,93,90,17.9,ru,1600315589
ouesso,2.00498,17.042330000000003,69.93,93,94,2.24,cg,1600315589
baracoa,21.052290000000003,-74.18426000000001,80.01,82,17,3.24,cu,1600315589
bilibino,69.17181000000001,165.41085,38.66,87,100,4.34,ru,1600315589
talcahuano,-36.08964,-75.18675,51.8,87,58,4.7,cl,1600315590
volovo,52.12948000000001,38.094620000000006,55,90,75,11.01,ru,1600315590
amambai,-23.057270000000003,-55.136950000000006,69.8,75,25,8.43,br,1600315590
kaitangata,-88.21912,179.44571000000002,46,69,100,8.01,nz,1600315591
tacuarembo,-32.07968,-56.13944000000001,51.12,91,0,5.08,uy,1600315591
port said,31.07719,32.07968,78.8,83,0,9.17,eg,1600315591
faanui,0.0,-159.39591000000001,78.82,76,1,14.09,pf,1600315591
balclutha,-46.114540000000005,169.42081000000002,46,69,100,8.01,nz,1600315591
antalaha,-14.034860000000002,53.13197,69.46,75,0,6.71,mg,1600315592
lavrentiya,70.1743,-172.42828000000003,42.57,94,100,11.5,ru,1600315592
ban nahin,18.04482,104.25896000000002,90.66,60,91,2.8,la,1600315592
mnogovershinnyy,54.134460000000004,138.34362000000002,55.49,61,99,8.81,ru,1600315593
ruwi,24.059760000000004,58.144420000000004,82.4,74,8,4.7,om,1600315593
kenai,60.14940000000001,-151.37599,57.2,76,20,11.41,us,1600315593
bristol,37.092130000000004,-82.20418000000001,64.99,77,1,5.82,us,1600315593
gimbi,9.02241,36.08964,54.95,97,71,1.43,et,1600315594
copalillo,18.04482,-99.24651000000001,71.01,93,92,1.77,mx,1600315594
bitam,2.00498,12.029880000000002,68.11,98,100,1.48,ga,1600315594
mananjary,-22.05478,51.126990000000006,66.43,76,2,6.29,mg,1600315594
georgetown,-2.00498,-22.05478,87.8,70,20,3.36,sh,1600315544
axim,-3.0074700000000005,-3.0074700000000005,74.77,89,85,10.83,gh,1600315595
griffith,-33.082170000000005,145.36105,72,73,90,5.82,au,1600315595
paamiut,64.15936,-47.11703000000001,39.72,82,95,8.66,gl,1600315595
goundam,16.03984,-5.01245,87.85,38,5,13.29,ml,1600315595
coquimbo,-29.072210000000002,-86.21414000000001,51.8,93,0,8.05,cl,1600315596
saryg-sep,51.126990000000006,96.23904000000002,65.71,34,16,1.72,ru,1600315596
fort frances,48.11952000000001,-93.23157,35.01,74,1,5.55,ca,1600315596
imbituba,-30.074700000000004,-44.10956,66.2,100,75,4.7,br,1600315596
gari,60.14940000000001,62.15438,50.83,87,100,14.12,ru,1600315596
pundaguitan,6.014940000000001,126.31374000000001,81.18,74,100,6.13,ph,1600315597
anna paulowna,53.13197,5.01245,59,77,20,18.34,nl,1600315597
huaihua,28.069720000000004,110.27390000000001,63,94,100,5.21,cn,1600315597
urucara,0.0,-58.144420000000004,78.19,75,27,3.06,br,1600315597
vardo,80.1992,34.08466000000001,42.8,75,75,16.11,no,1600315598
abha,19.047310000000003,41.102090000000004,64.4,42,0,1.01,sa,1600315598
inhambane,-23.057270000000003,39.09711,71.2,90,3,8.05,mz,1600315598
mareeba,-14.034860000000002,142.35358000000002,77,73,82,8.99,au,1600315598
san ignacio,-16.03984,-61.15189000000001,80.01,73,83,1.86,bo,1600315599
moindou,-22.05478,165.41085,77,57,90,18.34,nc,1600315599
upernavik,79.19671000000001,-55.136950000000006,33.08,88,100,5.79,gl,1600315599
opole lubelskie,51.126990000000006,22.05478,66,42,99,9.82,pl,1600315599
ko samui,9.02241,100.24900000000001,86,70,20,11.41,th,1600315599
cockburn town,29.072210000000002,-71.17679000000001,83.55,78,7,14.65,bs,1600315600
