City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country_Code
avesta,60.14940000000001,16.03984,48.99,97,25,4.14,se
port alfred,-55.136950000000006,39.09711,56.48,65,0,10.4,za
carnarvon,-29.072210000000002,92.22908000000001,78.8,61,0,4.7,au
georgetown,-16.03984,-21.052290000000003,84.2,78,20,3.36,sh
hithadhoo,-20.0498,82.20418000000001,81.34,68,30,4.65,mv
hithadhoo,-13.032370000000002,76.18924000000001,81.34,68,30,4.65,mv
rikitea,-23.057270000000003,-113.28137000000001,73.65,85,23,15.35,pf
thompson,72.17928,-96.23904000000002,42.8,81,75,3.36,ca
isangel,-18.04482,170.4233,75.2,88,90,8.05,vu
kalur kot,32.07968,71.17679000000001,88.7,36,0,7.92,pk
renqiu,39.09711,116.28884000000001,68.81,78,100,3.02,cn
tommot,57.14193000000001,127.31623000000002,55.22,85,100,6.24,ru
half moon bay,29.072210000000002,-138.34362000000002,62.01,93,90,5.82,us
avarua,-39.09711,-163.40587000000002,73.4,64,48,10.29,ck
faanui,-9.02241,-160.3984,78.62,76,34,8.52,pf
bredasdorp,-56.13944000000001,24.059760000000004,53.6,71,5,12.75,za
verkhoshizhemye,58.144420000000004,49.12201,49.21,96,100,8.32,ru
baherden,39.09711,58.144420000000004,75,20,0,2.48,tm
olafsvik,60.14940000000001,-30.074700000000004,46.62,80,99,8.37,is
avarua,-36.08964,-166.41334,73.4,64,48,10.29,ck
busselton,-47.11703000000001,88.21912,64.99,63,84,1.99,au
jamestown,-22.05478,-4.00996,64.99,93,40,8.05,sh
severo-kurilsk,47.11703000000001,153.38097000000002,53.24,67,0,14.29,ru
tasiilaq,77.19173,-38.094620000000006,28.47,96,98,3.13,gl
luderitz,-27.067230000000002,8.01992,52.86,67,0,20.13,na
saint-philippe,-66.16434000000001,76.18924000000001,64.4,93,75,21.92,re
hasaki,32.07968,149.37101,75.2,94,75,4.7,jp
varhaug,58.144420000000004,4.00996,55.99,99,62,4,no
ribeira grande,27.067230000000002,-33.082170000000005,71.76,82,100,16.08,pt
chipata,-13.032370000000002,32.07968,60.37,58,66,6.2,zm
rikitea,-16.03984,-116.28884000000001,73.65,85,23,15.35,pf
castro,-45.11205,-92.22908000000001,66.02,44,63,3.15,cl
busselton,-54.134460000000004,102.25398000000001,64.99,63,84,1.99,au
tuktoyaktuk,86.21414000000001,-127.31623000000002,39.2,86,90,27.51,ca
mar del plata,-51.126990000000006,-49.12201,46.4,75,0,9.17,ar
busselton,-52.12948000000001,82.20418000000001,64.99,63,84,1.99,au
padang,-11.02739,88.21912,84.25,60,97,2.17,id
luderitz,-28.069720000000004,11.02739,52.86,67,0,20.13,na
wuwei,38.094620000000006,103.25647000000001,68.63,38,68,6.06,cn
atuona,-3.0074700000000005,-143.35607000000002,78.62,75,2,15.23,pf
ushuaia,-75.18675,-27.067230000000002,44.6,52,75,24.16,ar
jalu,25.062250000000002,22.05478,78.98,44,0,11.92,ly
mataura,-41.102090000000004,-143.35607000000002,55,75,44,15.99,pf
atuona,1.00249,-143.35607000000002,78.62,75,2,15.23,pf
kostomuksha,65.16185,30.074700000000004,43.61,92,43,10.83,ru
butaritari,16.03984,177.44073000000003,83.64,70,0,13.42,ki
nanortalik,59.146910000000005,-39.09711,37.71,74,52,3.29,gl
portland,-48.11952000000001,136.33864000000003,62.6,72,90,0.4,au
rikitea,-33.082170000000005,-139.34611,73.65,85,23,15.35,pf
rikitea,-37.092130000000004,-135.33615,73.65,85,23,15.35,pf
chik,55.136950000000006,82.20418000000001,51.8,76,100,4.47,ru
vaini,-76.18924000000001,-177.44073000000003,71.6,73,75,8.05,to
atuona,11.02739,-134.33366,78.62,75,2,15.23,pf
buala,-4.00996,161.40089,86.16,65,3,8.3,sb
vardo,86.21414000000001,34.08466000000001,46.4,87,75,4.7,no
mataura,-86.21414000000001,-151.37599,55,75,44,15.99,pf
cape town,-60.14940000000001,3.0074700000000005,55,76,20,9.17,za
bluff,-81.20169000000001,172.42828000000003,55,75,4,15.99,nz
pangnirtung,66.16434000000001,-60.14940000000001,36.18,80,57,1.12,ca
shimoda,29.072210000000002,141.35109000000003,78.8,88,75,8.05,jp
saint george,35.08715,-55.136950000000006,89.6,8,1,9.17,bm
